Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CL31B105KBHNNNE,C1206,130.907417,-121.5,0.0,top
C3,22uF,C1206,177.407417,-74.81191,0.0,top
C4,RVT220UF10V67RV0037,CAP-SMD_BD6.3-L6.6-W6.6-FD,123.829947,-106.0,0.0,top
C5,22uF,C1206,177.407417,-78.149528,0.0,top
C6,22u,C1206,177.407417,-81.487146,0.0,top
C7,10u,CAP-SMD_L3.2-W1.6-RD-C7171,149.813691,-115.5,0.0,top
D2,SS34_C8678,SMA_L4.3-W2.6-LS5.2-RD,122.5,-94.0,0.0,top
D6,SS34_C8678,SMA_L4.3-W2.6-LS5.2-RD,176.095242,-108.770434,0.0,top
J1,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,156.5,-130.55,0.0,top
J2,USB_C_Receptacle_PowerOnly_6P,TYPE-C-SMD_TYPE-C-6P,126.5,-128.124968,0.0,top
J3,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,156.77,-120.73,-90.0,top
L1,10uH,L0805,192.466218,-113.0,0.0,top
L2,10u,L0805,121.5,-85.0,0.0,top
L3,10u,L0805,121.5,-79.0,0.0,top
L4,10u,L0805,121.533782,-74.5,0.0,top
LED1,KT-0603R,R0603,181.746634,-104.0,0.0,top
LED2,KT-0603R,R0603,181.746634,-106.47361,0.0,top
R1,0.2,R2512,146.0,-130.5,0.0,top
R10,0805W8F4702T5E,R0805,189.5,-87.013412,0.0,top
R11,0.4,R0402,171.098299,-105.474803,0.0,top
R12,2k,C1206,177.407417,-88.162382,0.0,top
R14,1k,R0402,171.098299,-107.624409,0.0,top
R15,6k,R0805,189.5,-90.0,0.0,top
R16,1k,R0402,171.098299,-109.774015,0.0,top
R17,10k,C1206,177.407417,-91.5,0.0,top
R18,10k,C1206,167.214802,-73.132135,0.0,top
R2,0.2,R2512,130.933706,-99.0,0.0,top
R3,0603WAF7502T5E,R0603,125.746634,-121.5,0.0,top
R4,0805W8F2702T5E,R0805,189.5,-75.06706,0.0,top
R5,47k,R0805,189.5,-78.053648,0.0,top
R6,10k,C1206,177.407417,-84.824764,0.0,top
R7,47k,R0805,189.5,-81.040236,0.0,top
R8,47k,R0805,189.5,-84.026824,0.0,top
REF1,high_frequency_680uF35V,CAP-TH_BD10.0-P5.00-D1.0-FD,149.959995,-77.0,0.0,top
U1,INA219AxDCN,SOT-23-8,165.3625,-128.825,0.0,top
U10,SN74LVC1G3157DCKR,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,185.455306,-108.533195,0.0,top
U11,TPS22917DBVR,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,170.117865,-93.316911,0.0,top
U13,TPS22917DBVR,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,170.117865,-97.898825,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,169.0,-79.0,0.0,top
U3,HUSB237-AA001-DN06R,TDFN-6_L2.0-W2.0-P0.65-TL-EP,121.0,-121.850012,0.0,top
U4,MT3608,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,192.050038,-104.850902,0.0,top
U5,LM2596SX-5_0/NOPB,TO-263-5_L10.2-W8.9-P1.70-TL,134.724257,-77.682499,0.0,top
U6,SK22D15L5,SW-TH_XKB_SK22D15L7,186.5,-128.749936,0.0,top
U7,L298N_C19922,MULTIWATT-15_L19.6-W5.0-P1.27-L,146.5,-106.540005,0.0,top
U8,L298N_C19922,MULTIWATT-15_L19.6-W5.0-P1.27-L,145.459995,-93.540005,0.0,top
U9,TP4056_C382139,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,166.405004,-108.408306,0.0,top
